row_id,source,lat_deg,lon_deg,report_date,status_id,water_source_clean,water_source_category,water_tech_clean,_water_tech_category,facility_type,clean_country_name,clean_country_id,clean_adm1,clean_adm2,clean_adm3,clean_adm4,install_year,installer,rehab_year,rehabilitator,management_clean,status_clean,pay_clean,fecal_coliform_presence,fecal_coliform_value,subjective_quality_clean,activity_id,scheme_id,wpdx_id,notes,orig_lnk,photo_lnk,country_id,data_lnk,distance_to_primary,distance_to_secondary,distance_to_tertiary,distance_to_city,distance_to_town,water_point_history,local_population,served_population,rehab_priority,_pop_who_would_gain_access,crucialness,pressure,usage_cap,days_since_report,staleness_score,is_latest,location_id,is_urban,cluster_size,country_name,water_source,water_tech,status,adm1,adm2,adm3,management,pay,subjective_quality,new_georeferenced_column_,lat_lon_deg,public_data_source,converted,count,created_timestamp,updated,is_duplicate,dataset_title
799165,Evidence Action,-1.194013069,34.61521115,2014-08-27T00:00:00.000,Yes,Protected Well,Well,,,Improved,Kenya,KEN,Migori,Kuria West,Bukira East,,,,,,,Non-Functional,,,,,,,6GCPRJ48+93W,Kechanyakega,,,KE,https://catalog.waterpointdata.org/datasets/evidence-action-kenya-wpdx-reingestion-5f74c47f,56924.64814,3760.008076,287.0163545,60442.63687,143.6863474,"{""2014-08-27"": {""source"": ""Evidence Action"", ""status_id"": ""Yes"", ""water_source_clean"": ""Protected Well""}}",5839.0,513.0,,,0.08785751,1.71,300.0,4344,25.42884286,True,139761,False,1,Kenya,Protected Spring,,,,,,,,,POINT (34.6152111481 -1.1940130685),"(-1.1940130685°, 34.6152111481°)",https://catalog.waterpointdata.org/datafiles/evidence-action-kenya-wpdx-reingestion-5f74c47f.xlsx,,1,2020-09-30T17:46:39.000,2020-09-30T17:46:39.000,,Evidence Action_Kenya_2012-2016
103412,USAID/KEA KIWASH,-1.1220967,34.4924335,2021-02-01T00:00:00.000,Yes,Undefined Well,Well,Public Tapstand,Public Tapstand,Improved,Kenya,KEN,Migori,Kuria West,Masaba,,,,,,Community Management,"Functional, needs repair",,,,Unacceptable quality,Migori_enumerator-96GKSF,,6GCPVFHR+5X7,,,https://api.mwater.co/v3/images/5561eabb2baa4676b36ebdc672540ef7,KE,https://catalog.waterpointdata.org/datasets/usaid-kiwash-kenya-2021-6372a622,57484.92671,116.0742003,64.93093614,58693.66725,6776.730126,"{""2021-02-01"": {""photo_lnk"": ""https://api.mwater.co/v3/images/5561eabb2baa4676b36ebdc672540ef7"", ""source"": ""USAID/KEA KIWASH"", ""status_id"": ""Yes"", ""water_source_clean"": ""Undefined Well"", ""water_tech_clean"": ""Public Tapstand""}}",739.0,333.0,,,0.450608931,1.11,300.0,1994,53.33725628,True,403464,False,1,Kenya,Protected hand dug/ shallow well,"KIOSK, public tap",Partially- functional but needs repairs,Migori,KURIA WEST,Masaba,Project management committee,,"No, the water is not treated and safe for drinking",POINT (34.4924335 -1.1220967),"(-1.1220967°, 34.4924335°)",https://catalog.waterpointdata.org/datafiles/usaid-kiwash-kenya-2021-6372a622.csv,"#status_id, #orig_lnk",1,2022-11-14T20:33:38.000,2022-11-14T20:33:38.000,,USAID_KIWASH_Kenya_2021
640737,Evidence Action,-1.191203356,34.60486221,2023-10-19T00:00:00.000,Yes,Protected Well,Well,Motorized Pump - Electric,Motorized Pump,Improved,Kenya,KEN,Migori,Kuria West,Bukira East,,,,,,,Non-Functional,,,,,10320661,,6GCPRJ53+FWH,Kerario Protected Spring,,,KE,https://catalog.waterpointdata.org/datasets/evidence-action-kenya-2023-2024-66217272,57182.79756,3844.097736,787.8011982,60479.91506,1305.833691,"{""2014-02-09"": {""source"": ""Evidence Action"", ""status_id"": ""Yes"", ""water_source_clean"": ""Protected Well""}, ""2023-10-19"": {""source"": ""Evidence Action"", ""status_id"": ""Yes"", ""water_source_clean"": ""Protected Well"", ""water_tech_clean"": ""Motorized Pump - Electric""}}",3079.0,779.0,,,0.253004222,2.596666667,300.0,1004,72.87139245,True,128900,False,2,Kenya,Protected Spring (not powered by solar/electricity),,,Migori,Kuria West,Igena,,,,POINT (34.604862213134766 -1.1912033557891846),"(-1.1912033557891846°, 34.604862213134766°)",https://catalog.waterpointdata.org/datafiles/evidence-action-kenya-2023-2024-66217272.xlsx,,1,2024-04-18T19:20:18.000,2024-04-18T19:20:18.000,,Evidence Action_Kenya_2023-2024
641853,Evidence Action,-1.200935006,34.51485443,2023-11-28T00:00:00.000,Yes,Protected Well,Well,Motorized Pump - Electric,Motorized Pump,Improved,Kenya,KEN,Migori,Kuria West,Makerero,,,,,,,Non-Functional,,,,,10340043,,6GCPQGX7+JWH,,,,KE,https://catalog.waterpointdata.org/datasets/evidence-action-kenya-2023-2024-66217272,63407.01528,6199.036957,2623.628371,65168.21504,5890.136909,"{""2023-11-28"": {""source"": ""Evidence Action"", ""status_id"": ""Yes"", ""water_source_clean"": ""Protected Well"", ""water_tech_clean"": ""Motorized Pump - Electric""}}",2047.0,657.0,,,0.320957499,2.19,300.0,964,73.79601021,True,431622,False,1,Kenya,Protected Spring (not powered by solar/electricity),,,Migori,Kuria West,Nyankore,,,,POINT (34.514854431152344 -1.2009350061416626),"(-1.2009350061416626°, 34.514854431152344°)",https://catalog.waterpointdata.org/datafiles/evidence-action-kenya-2023-2024-66217272.xlsx,,1,2024-04-18T19:20:18.000,2024-04-18T19:20:18.000,,Evidence Action_Kenya_2023-2024
640848,Evidence Action,-1.247748375,34.61745453,2023-06-12T00:00:00.000,Yes,Protected Well,Well,Motorized Pump - Electric,Motorized Pump,Improved,Kenya,KEN,Migori,Kuria East,Nyabasi West,,,,,,,Non-Functional,,,,,10320828,,6GCPQJ28+WX4,,,,KE,https://catalog.waterpointdata.org/datasets/evidence-action-kenya-2023-2024-66217272,62151.98464,7049.35637,1147.604847,66102.41908,5825.910182,"{""2023-06-12"": {""source"": ""Evidence Action"", ""status_id"": ""Yes"", ""water_source_clean"": ""Protected Well"", ""water_tech_clean"": ""Motorized Pump - Electric""}}",1889.0,290.0,,,0.153520381,0.966666667,300.0,1133,69.96769519,True,426566,False,1,Kenya,Protected Spring (not powered by solar/electricity),,,Migori,Kuria East,Nyabikongori,,,,POINT (34.617454528808594 -1.2477483749389648),"(-1.2477483749389648°, 34.617454528808594°)",https://catalog.waterpointdata.org/datafiles/evidence-action-kenya-2023-2024-66217272.xlsx,,1,2024-04-18T19:20:18.000,2024-04-18T19:20:18.000,,Evidence Action_Kenya_2023-2024
779615,Evidence Action,-1.051621976,34.52072916,2014-03-19T00:00:00.000,Yes,Protected Well,Well,,,Improved,Kenya,KEN,Migori,Suna East,God Jope,,,,,,,Non-Functional,,,,,,,6GCPWGXC+975,Kamakori Spring,,,KE,https://catalog.waterpointdata.org/datasets/evidence-action-kenya-wpdx-reingestion-5f74c47f,49350.5018,6815.27669,191.7010651,50422.24983,6248.110693,"{""2014-03-19"": {""source"": ""Evidence Action"", ""status_id"": ""Yes"", ""water_source_clean"": ""Protected Well""}}",2306.0,301.0,,,0.130529055,1.003333333,300.0,4505,24.1705452,True,131444,False,1,Kenya,Protected Spring,,,,,,,,,POINT (34.5207291649 -1.0516219759),"(-1.0516219759°, 34.5207291649°)",https://catalog.waterpointdata.org/datafiles/evidence-action-kenya-wpdx-reingestion-5f74c47f.xlsx,,1,2020-09-30T17:46:39.000,2020-09-30T17:46:39.000,,Evidence Action_Kenya_2012-2016
295705,USAID/KEA KIWASH,-0.9063761,34.5307529,2021-02-08T00:00:00.000,Yes,Undefined Well,Well,Public Tapstand,Public Tapstand,Improved,Kenya,KEN,Migori,Awendo,South Sakwa,,1995.0,,,,Community Management,"Functional, not in use",,,,Unacceptable quality,Migori_enumerator-972XW9,,6GFP3GVJ+C8R,,,https://api.mwater.co/v3/images/abd585f3b9824340b5a0b570f36d626e,KE,https://catalog.waterpointdata.org/datasets/usaid-kiwash-kenya-2021-6372a622,36656.45902,17959.55172,186.3465533,37184.97599,207.5751753,"{""2021-02-08"": {""photo_lnk"": ""https://api.mwater.co/v3/images/abd585f3b9824340b5a0b570f36d626e"", ""source"": ""USAID/KEA KIWASH"", ""status_id"": ""Yes"", ""water_source_clean"": ""Undefined Well"", ""water_tech_clean"": ""Public Tapstand""}}",7156.0,664.0,,,0.092789268,2.213333333,300.0,1987,53.45507446,True,406953,False,1,Kenya,Protected hand dug/ shallow well,"KIOSK, public tap",Yes- functional and in use,Migori,AWENDO,Central Sakwa,Project management committee,,"No, the water is not treated and safe for drinking",POINT (34.5307529 -0.9063761),"(-0.9063761°, 34.5307529°)",https://catalog.waterpointdata.org/datafiles/usaid-kiwash-kenya-2021-6372a622.csv,"#status_id, #orig_lnk",1,2022-11-14T20:33:38.000,2022-11-14T20:33:38.000,,USAID_KIWASH_Kenya_2021
642017,Evidence Action,-1.215463281,34.48997116,2024-01-15T00:00:00.000,Yes,Protected Well,Well,Motorized Pump - Electric,Motorized Pump,Improved,Kenya,KEN,Migori,Kuria West,Makerero,,,,,,,Non-Functional,,,,,10340242,,6GCPQFMQ+RX9,,,,KE,https://catalog.waterpointdata.org/datasets/evidence-action-kenya-2023-2024-66217272,66260.77905,3605.755278,1686.867733,67837.53183,2997.734872,"{""2024-01-15"": {""source"": ""Evidence Action"", ""status_id"": ""Yes"", ""water_source_clean"": ""Protected Well"", ""water_tech_clean"": ""Motorized Pump - Electric""}}",2831.0,921.0,,,0.32532674,3.07,300.0,916,74.92105066,True,432836,False,1,Kenya,Protected Spring (not powered by solar/electricity),,,Migori,Kuria West,Nyabikaye,,,,POINT (34.48997116088867 -1.2154632806777954),"(-1.2154632806777954°, 34.48997116088867°)",https://catalog.waterpointdata.org/datafiles/evidence-action-kenya-2023-2024-66217272.xlsx,,1,2024-04-18T19:20:18.000,2024-04-18T19:20:18.000,,Evidence Action_Kenya_2023-2024
777036,Evidence Action,-1.103458206,34.60936062,2014-10-03T00:00:00.000,Yes,Protected Well,Well,,,Improved,Kenya,KEN,Migori,Suna East,Kwa,,,,,,,Non-Functional,,,,,,,6GCPVJW5+JP9,Kobingo Protected Spring,,,KE,https://catalog.waterpointdata.org/datasets/evidence-action-kenya-wpdx-reingestion-5f74c47f,48568.35237,5301.566191,414.0933606,51131.74803,10157.82562,"{""2014-10-03"": {""source"": ""Evidence Action"", ""status_id"": ""Yes"", ""water_source_clean"": ""Protected Well""}}",2249.0,702.0,,,0.312138728,2.34,300.0,4307,25.72715281,True,148266,False,1,Kenya,Protected Spring,,,,,,,,,POINT (34.6093606213 -1.103458206),"(-1.103458206°, 34.6093606213°)",https://catalog.waterpointdata.org/datafiles/evidence-action-kenya-wpdx-reingestion-5f74c47f.xlsx,,1,2020-09-30T17:46:39.000,2020-09-30T17:46:39.000,,Evidence Action_Kenya_2012-2016
639703,Evidence Action,-0.952663362,34.5477066,2023-11-30T00:00:00.000,Yes,Protected Well,Well,Motorized Pump - Electric,Motorized Pump,Improved,Kenya,KEN,Migori,Awendo,South Sakwa,,,,,,,Non-Functional,,,,,10310441,,6GFP2GWX+W3P,,,,KE,https://catalog.waterpointdata.org/datasets/evidence-action-kenya-2023-2024-66217272,39097.73882,18125.18555,491.4085759,39763.12577,5251.366044,"{""2023-11-30"": {""source"": ""Evidence Action"", ""status_id"": ""Yes"", ""water_source_clean"": ""Protected Well"", ""water_tech_clean"": ""Motorized Pump - Electric""}}",1540.0,1226.0,,,0.796103896,4.086666667,300.0,962,73.84254783,True,431977,False,1,Kenya,Protected Spring (not powered by solar/electricity),,,Migori,Awendo,Waundha,,,,POINT (34.547706604003906 -0.9526633620262146),"(-0.9526633620262146°, 34.547706604003906°)",https://catalog.waterpointdata.org/datafiles/evidence-action-kenya-2023-2024-66217272.xlsx,,1,2024-04-18T19:20:18.000,2024-04-18T19:20:18.000,,Evidence Action_Kenya_2023-2024
